ID,Dish_id,Language,Name,Ingredients of a standard portion for an adult,Recipe,Tip
1,1,en,Orange,"Orange,200,g;",,
2,2,en,Tangerine,"Tangerine,190,g;",,
3,3,en,Grapes,"Grapes,70,g;",,
4,4,en,Banana,"Banana,160,g;",,
5,5,en,Apple,"Apple,180,g;",,
6,6,en,Pear,"Pear,150,g;",,
7,7,en,Pineapple,"Pineapple,200,g;",,
8,8,en,Kiwi,"Kiwi,150,g;",,
9,9,en,Plum,"Plum,160,g;",,
10,10,en,Strawberries,"Strawberries,150,g;",,
11,11,en,Blackberries,"Blackberries,140,g;",,
12,12,en,Cherries,"Cherries,150,g;",,
13,13,en,Peach,"Peach,180,g;",,
14,14,en,Apricot,"Apricot,150,g;",,
15,15,en,Watermelon,"Watermelon,150,g;",,
16,16,en,Whole-wheat bread,"Whole-wheat bread,60,g;",,
17,17,en,Whole-wheat cracker toast,"Whole-wheat cracker toast,40,g;",,
18,18,en,Whole-wheat rusk,"Whole-wheat rusk,40,g;",,
19,19,en,Whole-wheat bread sliced,"Whole-wheat bread sliced,56,g;",,
20,20,en,"Wheat tortilla wrap, to be filled","Wheat tortilla wrap, to be filled,70,g;",,
21,21,en,"Puffed rice textured bread, wholemeal","Puffed rice textured bread, wholemeal,40,g;",,
22,22,en,Whole-wheat bread sticks,"Whole-wheat bread sticks,40,g;",,
23,23,en,Yoghurt plain,"Yoghurt fat-free, plain,125,g;",,
24,24,en,"Yoghurt fat-free, with fruits","Yoghurt fat-free, with fruits,125,g;",,
25,25,en,Yoghurt Greekstyle plain,"Yoghurt Greekstyle plain,125,g;",,
26,26,en,Kefir,"Kefir,200,g;",,
27,27,en,"Dairy drink or fermented milk, fat-free, sugar-free, plain","Dairy drink or fermented milk, fat-free, plain,200,g;",,
28,28,en,Semi-skimmed milk,"Semi-skimmed milk,200,g;","Put the milk in a cup. Add coffee, cinnamon or pure cocoa powder however you like.",
29,29,en,"Skimmed milk, calcium fortified","Skimmed milk, calcium fortified,200,g;",,
30,30,en,Yogurt plain with blueberries and oatmeal,"Yoghurt fat-free plain,125,g;
Blueberries,50,g;
Oatmeal,30,g;","Add the yogurt to a bowl.
Then add the blueberries and oat flakes.
Mix all ingredients.",
31,31,en,Wholemeal toast with hummus and alvocado,"Wholemeal bread,60,g;
Hummus,40,g;
Aguacate,25,g;",Toast the bread. Spread with a layer of hummus. Cover with a few slices of avocado. Ready to consume.,
32,32,en,Wholemeal toast with olive oil and fresh cheese,"Wholemeal bread,60,g;
Slice of fresh cheese,55,g
Olive oil,5,ml;","Toast the bread and, when toasted, add a drizzle of olive oil. Cut two slices of cheese on one side. Serve the toast with the cheese on one side and the fruit on the other.",
