ID,Type,Country,For Autumn,For Winter,For Spring,For Summer,Dish ID #1,Dish ID #2,Dish ID #3,Dish ID #4,Dish ID #5,Dish ID #6,Dish ID #7,Dish ID #8,Dish ID #9,Dish ID #10
1,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,28,21,4,,,,,,,
2,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,35,23,,,,,,,,
3,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,39,1,,,,,,,,
4,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,33,,,,,,,,,
5,Breakfast,Spain,FALSE,FALSE,TRUE,TRUE,37,11,,,,,,,,
6,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,23,31,,,,,,,,
7,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,28,38,4,,,,,,,
8,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,41,,,,,,,,,
9,Breakfast,Spain,FALSE,FALSE,FALSE,TRUE,32,13,,,,,,,,
10,Breakfast,Spain,FALSE,FALSE,TRUE,TRUE,28,40,,,,,,,,
11,Breakfast,Spain,TRUE,TRUE,FALSE,FALSE,16,43,23,2,,,,,,
12,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,26,18,8,157,,,,,,
13,Breakfast,Spain,TRUE,TRUE,FALSE,TRUE,28,18,46,3,,,,,,
14,Breakfast,Spain,FALSE,FALSE,FALSE,TRUE,25,14,21,,,,,,,
15,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,28,36,,,,,,,,
16,Breakfast,Spain,TRUE,TRUE,TRUE,TRUE,28,42,,,,,,,,
17,Breakfast,Spain,TRUE,TRUE,TRUE,FALSE,2,4,28,16,,,,,,
18,Breakfast,Spain,TRUE,TRUE,FALSE,TRUE,23,34,157,,,,,,,
19,Breakfast,Spain,TRUE,FALSE,TRUE,TRUE,28,16,46,3,158,,,,,
20,Breakfast,Spain,TRUE,FALSE,TRUE,TRUE,30,,,,,,,,,
21,Morning Snack,Spain,FALSE,FALSE,TRUE,FALSE,16,10,155,,,,,,,
22,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,23,155,,,,,,,,
23,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,25,4,157,,,,,,,
24,Morning Snack,Spain,TRUE,TRUE,FALSE,FALSE,22,156,2,,,,,,,
25,Morning Snack,Spain,FALSE,FALSE,TRUE,FALSE,39,12,,,,,,,,
26,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,38,5,,,,,,,,
27,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,35,21,,,,,,,,
28,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,17,34,156,,,,,,,
29,Morning Snack,Spain,TRUE,FALSE,TRUE,TRUE,22,122,7,,,,,,,
30,Morning Snack,Spain,TRUE,TRUE,TRUE,TRUE,36,,,,,,,,,
31,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,92,126,6,,,,,,,
32,Lunch,Spain,FALSE,TRUE,TRUE,FALSE,98,45,1,,,,,,,
33,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,96,145,24,,,,,,,
34,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,63,47,9,,,,,,,
35,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,53,15,,,,,,,,
36,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,115,17,8,,,,,,,
37,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,89,71,,,,,,,,
38,Lunch,Spain,FALSE,FALSE,FALSE,TRUE,77,150,13,,,,,,,
39,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,97,133,23,,,,,,,
40,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,104,149,7,,,,,,,
41,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,94,153,,,,,,,,
42,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,99,139,23,,,,,,,
43,Lunch,Spain,TRUE,TRUE,FALSE,FALSE,84,65,2,,,,,,,
44,Lunch,Spain,TRUE,FALSE,TRUE,TRUE,57,142,6,,,,,,,
45,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,88,80,34,,,,,,,
46,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,78,136,14,,,,,,,
47,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,102,141,8,,,,,,,
48,Lunch,Spain,TRUE,TRUE,FALSE,FALSE,105,74,7,,,,,,,
49,Lunch,Spain,TRUE,TRUE,TRUE,FALSE,123,79,1,,,,,,,
50,Lunch,Spain,FALSE,TRUE,TRUE,FALSE,114,46,10,,,,,,,
51,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,63,147,5,,,,,,,
52,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,103,121,9,,,,,,,
53,Lunch,Spain,TRUE,FALSE,TRUE,TRUE,106,132,24,,,,,,,
54,Lunch,Spain,TRUE,TRUE,FALSE,FALSE,72,135,3,,,,,,,
55,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,90,129,23,,,,,,,
56,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,110,49,12,,,,,,,
57,Lunch,Spain,TRUE,TRUE,FALSE,FALSE,112,61,8,,,,,,,
58,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,87,101,6,,,,,,,
59,Lunch,Spain,TRUE,TRUE,TRUE,TRUE,92,81,9,,,,,,,
60,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,17,116,,,,,,,,
61,Afternoon Snack,Spain,FALSE,FALSE,TRUE,TRUE,4,1,10,,,,,,,
62,Afternoon Snack,Spain,FALSE,FALSE,TRUE,TRUE,26,11,155,,,,,,,
63,Afternoon Snack,Spain,FALSE,FALSE,TRUE,TRUE,25,10,,,,,,,,
64,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,122,22,,,,,,,,
65,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,33,,,,,,,,,
66,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,26,4,157,,,,,,,
67,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,27,155,,,,,,,,
68,Afternoon Snack,Spain,FALSE,FALSE,TRUE,TRUE,21,156,11,,,,,,,
69,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,95,44,,,,,,,,
70,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,108,16,,,,,,,,
71,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,86,117,25,,,,,,,
72,Dinner,Spain,FALSE,FALSE,TRUE,TRUE,76,16,140,,,,,,,
73,Dinner,Spain,TRUE,FALSE,TRUE,TRUE,56,,,,,,,,,
74,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,111,18,156,,,,,,,
75,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,124,73,,,,,,,,
76,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,125,,,,,,,,,
77,Dinner,Spain,TRUE,TRUE,FALSE,FALSE,89,146,,,,,,,,
78,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,87,55,,,,,,,,
79,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,109,127,,,,,,,,
80,Dinner,Spain,FALSE,FALSE,TRUE,TRUE,77,75,,,,,,,,
81,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,93,,,,,,,,,
82,Dinner,Spain,TRUE,FALSE,TRUE,TRUE,62,,,,,,,,,
83,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,92,48,,,,,,,,
84,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,100,,,,,,,,,
85,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,60,,,,,,,,,
86,Dinner,Spain,FALSE,FALSE,TRUE,TRUE,85,,,,,,,,,
87,Afternoon Snack,Spain,TRUE,TRUE,TRUE,TRUE,28,4,5,155,,,,,,
88,Lunch,Spain,FALSE,FALSE,TRUE,TRUE,148,58,9,,,,,,,
89,Dinner,Spain,TRUE,TRUE,TRUE,TRUE,65,43,,,,,,,,
